m c sigma
0.44770277611939957 0.8190292500072807 1.053462332333293
0.5585638201352171 -0.3730299180087986 1.1383701736026428
0.3869385266485175 0.8624809299807947 1.046203544421414
0.47415922584198217 -0.02278421411256648 0.9058269399536976
0.4120024864204085 0.4415832683936922 1.0467683814624171
0.6049635252680589 -0.33519887096535417 1.0844750125301086
0.6017152863859564 -0.5102162492786402 0.9135182322688267
0.5181743097667655 -0.21930924957472953 0.9143884507345217
0.42060631155213646 0.5096291010859475 1.0772880794193354
0.5182477455410811 0.2569461706658518 1.141440664731278
0.4999935097002225 0.06603243593291719 1.13466063606926
0.46153015783265683 0.5526079989164323 0.7515163978673362
0.6028303068247797 -0.3319661347039804 1.0435797134583367
0.42252458556836686 0.7175512025624795 0.8283294335948144
0.5969135337720872 -0.11956161045852709 1.0009738413025762
0.5543880423339547 -0.3271989750131994 0.9832222525708867
0.5372143840133627 -0.26627139844115666 0.9645977756789902
0.4339443677874302 0.4561558265587107 1.0605260356374364
0.5435355960971138 0.26766752189755705 0.993971726171523
0.43241512665353854 0.3479080453951373 0.8966261573197296
0.5550755256765197 0.19558338696568267 0.9848825067132729
0.5374065481563264 -0.13609599124894833 1.0896009591699087
0.47490049207654383 0.26131330655637397 1.1101633461010547
0.6051506864218187 -0.19235083883114523 0.9124953623849048
0.4544003042017608 0.574464827802764 1.067883535014278
0.5566986829221262 -0.0037425628412199874 1.098910736152531
0.5692628495247322 -0.2309495835974238 0.7618885277994589
0.45879180639873407 0.1725331805766417 0.8671673257167409
0.5651458630842345 -0.2709628333532095 0.7860726363567989
0.5550309154390888 0.19697342920695604 0.9504716675698193
0.41891100293431416 0.501140999633165 0.9619236811950045
0.5384864469151976 0.27616609754270316 0.9986313698766119
0.5949503208988853 -0.12111863845022253 0.8696627158179232
0.5491238493742728 -0.2905385065287236 0.9643342107556873
0.4418535566210603 0.43927446907254186 1.0591627434152677
0.5477606411995046 0.006865884425625524 1.1012462686266822
0.4204984036871143 0.4878303699522304 0.9448890325449946
0.5336040717099757 -0.23248654448388462 0.9231022957370917
0.5230106424545635 0.3116964409500813 0.7870415007599283
0.4476934739401029 0.5162213558902655 1.066721745114492
